id;area_code;area_name;region_code;status;created_date;created_by;updated_date;updated_by
1;contextually-based Maine Rustic Wooden Salad;Berkshire brand;Enterprise-wide cross-platform;ACTIVE;2022-01-05T23:05:41;Dominican Peso;2022-01-05T07:28:08;Director Computers
2;Ergonomic;Walk Cotton;Kwanza South Carolina Operations;INACTIVE;2022-01-05T13:02:15;function frame Chilean Peso Unidades de fomento;2022-01-06T03:16:41;Clothing International
3;Customer;Home;Borders;ACTIVE;2022-01-05T23:59:54;HTTP Benin;2022-01-06T03:21:47;Savings Account
4;Borders;envisioneer generate Peso Uruguayo Uruguay Peso en Unidades Indexadas;solid state Tasty Plastic Bacon;INACTIVE;2022-01-05T16:01:13;Analyst Locks Rustic;2022-01-05T07:20:07;Berkshire Brook
5;Concrete;Incredible Avon;Representative white sexy;ACTIVE;2022-01-05T15:50:07;leading-edge Auto Loan Account;2022-01-05T20:45:43;National
6;Distributed Savings Account deposit;Savings Account;recontextualize implementation cross-media;ACTIVE;2022-01-05T19:38:11;Central back up Health;2022-01-05T13:11:59;Right-sized
7;firmware;Self-enabling;Unbranded bifurcated;ACTIVE;2022-01-05T12:42:32;foreground;2022-01-06T00:32:22;FTP transmitting orchid
8;overriding;synthesizing indigo Intelligent;monitor AGP plum;INACTIVE;2022-01-05T11:54:44;British Indian Ocean Territory (Chagos Archipelago) Lock;2022-01-06T02:05:25;solutions SCSI
9;HDD;Customer card;Ameliorated;ACTIVE;2022-01-05T09:33:43;Pants USB strategic;2022-01-05T10:44:03;Antigua and Barbuda
10;RSS;Principal open-source Avon;Data expedite Games;ACTIVE;2022-01-05T11:40:51;Buckinghamshire Human California;2022-01-06T06:57:00;Open-source connecting
